rater_ID,target_ID,approach_count_0,approach_count_1
1,2,10,10
1,3,8,13
1,4,7,10
1,5,5,10
1,6,12,19
1,7,11,16
1,8,8,11
1,9,9,8
1,10,11,11
2,1,11,16
2,3,8,14
2,4,8,20
2,5,15,13
2,6,5,12
2,7,12,15
2,8,16,19
2,9,11,11
2,10,7,15
3,1,18,13
3,2,9,20
3,4,16,8
3,5,10,16
3,6,11,16
3,7,7,11
3,8,13,11
3,9,13,15
3,10,7,13
4,1,16,7
4,2,8,12
4,3,9,3
4,5,12,14
4,6,5,11
4,7,4,13
4,8,14,9
4,9,11,9
4,10,6,14
5,1,9,8
5,2,13,11
5,3,11,11
5,4,11,15
5,6,14,12
5,7,3,18
5,8,16,7
5,9,13,12
5,10,9,13
6,1,23,6
6,2,3,10
6,3,6,21
6,4,15,11
6,5,9,10
6,7,15,18
6,8,7,15
6,9,8,16
6,10,6,15
7,1,12,12
7,2,15,21
7,3,8,18
7,4,9,10
7,5,12,15
7,6,9,15
7,8,13,8
7,9,8,10
7,10,7,17
8,1,11,9
8,2,12,14
8,3,12,10
8,4,5,6
8,5,8,9
8,6,12,24
8,7,9,18
8,9,11,15
8,10,11,9
9,1,8,15
9,2,4,10
9,3,6,12
9,4,7,3
9,5,12,12
9,6,6,12
9,7,6,13
9,8,5,4
9,10,15,16
10,1,7,7
10,2,11,12
10,3,5,15
10,4,6,10
10,5,12,7
10,6,10,13
10,7,12,14
10,8,6,14
10,9,11,10
